City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tsiombe,-25.3,45.4833,293.44,96,4,2.8,Tsiombe,1686078027
1,port alfred,-33.5906,26.891,290.74,41,0,3.27,Port Alfred,1686078027
2,opuwo,-18.0607,13.84,291.86,27,0,1.92,Opuwo,1686078027
3,edinburgh of the seven seas,-37.0676,-12.3116,285.95,66,97,8.73,Edinburgh of the Seven Seas,1686078027
4,antalaha,-14.9003,50.2788,295.92,86,0,3.31,Antalaha,1686078028
5,severo-yeniseyskiy,60.3725,93.0408,286.67,97,0,1.85,Severo-Yeniseyskiy,1686078028
6,grytviken,-54.2811,-36.5092,275.78,97,97,1.98,Grytviken,1686078028
7,harper,4.375,-7.7169,298.88,88,100,4.48,Harper,1686078028
8,telhara,21.0269,76.8389,307.88,28,79,5.03,Telhāra,1686078029
9,selkirk,50.1436,-96.8845,304.88,57,61,1.79,Selkirk,1686077770
10,kasungu,-13.0333,33.4833,290.4,70,6,2.19,Kasungu,1686077956
11,pudasjarvi,65.3833,26.9167,281.08,71,100,2.6,Pudasjärvi,1686078029
12,college,64.8569,-147.8028,295.42,41,20,0.94,College,1686078029
13,port-aux-francais,-49.35,70.2167,275.68,77,100,9.28,Port-aux-Français,1686077900
14,yellowknife,62.456,-114.3525,282.44,100,100,7.72,Yellowknife,1686078029
15,kayangel,8.0823,134.7173,301.73,80,100,8.44,Kayangel,1686078030
16,mata-utu,-13.2816,-176.1745,300.82,79,40,5.79,Mata-Utu,1686078030
17,korhogo,9.45,-5.6333,302.03,58,91,1.35,Korhogo,1686078030
18,ust-nera,64.5667,143.2,281.96,87,100,3.75,Ust-Nera,1686078030
19,west island,-12.1568,96.8225,298.14,83,75,5.66,West Island,1686078030
20,olomouc,49.5955,17.2518,291.69,90,100,1.71,Olomouc,1686078031
21,puerto natales,-51.7236,-72.4875,278.44,69,81,6.09,Puerto Natales,1686078031
22,ilulissat,69.2167,-51.1,272.16,100,75,2.57,Ilulissat,1686078031
23,thompson,55.7435,-97.8558,298.68,66,100,3.04,Thompson,1686078031
24,stanley,54.868,-1.6985,284.55,81,75,2.06,Stanley,1686078031
25,baharly,38.4362,57.4316,305.75,19,13,2.96,Baharly,1686078031
26,puerto ayora,-0.7393,-90.3518,297.9,98,79,3.13,Puerto Ayora,1686078032
27,ribeira grande,38.5167,-28.7,293.37,64,40,7.72,Ribeira Grande,1686078032
28,bethel,41.3712,-73.414,296.08,56,42,1.34,Bethel,1686078032
29,margaret river,-33.95,115.0667,285.02,70,100,8.83,Margaret River,1686078033
30,ushuaia,-54.8,-68.3,276.21,96,51,1.46,Ushuaia,1686078033
31,ketchikan,55.3422,-131.6461,286.05,68,100,1.46,Ketchikan,1686078033
32,hojo,33.9766,132.7777,290.64,96,9,0.84,Hōjō,1686078033
33,nemuro,43.3236,145.575,283.66,92,100,4.42,Nemuro,1686078033
34,dudinka,69.4058,86.1778,283.32,61,8,2.95,Dudinka,1686078033
